,AppStore,2022-09-05,
4.953216374269005,AppStore,2023-07-10,
4.885462555065054,AppStore,2023-07-11,
4.5915904,GooglePlay,2023-07-11,
4.959090909093026,AppStore,2023-07-12,
4.59255,GooglePlay,2023-07-12,
4.91943127961975,AppStore,2023-07-13,
4.5940065,GooglePlay,2023-07-13,
4.595276,GooglePlay,2023-07-14,
4.959821428572468,AppStore,2023-07-14,
4.583656,GooglePlay,2023-07-15,
4.954716981131197,AppStore,2023-07-15,
4.95,AppStore,2023-07-16,
4.5813007,GooglePlay,2023-07-16,
4.581449,GooglePlay,2023-07-17,
4.957589285714286,AppStore,2023-07-17,
4.971428571428572,AppStore,2023-07-18,
4.582117,GooglePlay,2023-07-18,
4.916666666666667,AppStore,2023-07-19,
4.5831556,GooglePlay,2023-07-19,
4.5820637,GooglePlay,2023-07-20,
4.934156378600823,AppStore,2023-07-20,
4.582541,GooglePlay,2023-07-21,
4.909090909090909,AppStore,2023-07-21,
4.95703125,AppStore,2023-07-22,
4.583811,GooglePlay,2023-07-22,
4.584525,GooglePlay,2023-07-23,
4.950920245398773,AppStore,2023-07-23,
4.580808,GooglePlay,2023-07-24,
4.943661971829893,AppStore,2023-07-24,
4.5828195,GooglePlay,2023-07-25,
4.896694214876995,AppStore,2023-07-25,
4.5827155,GooglePlay,2023-07-26,
4.931451612903226,AppStore,2023-07-26,
4.5841126,GooglePlay,2023-07-27,
4.930327868853413,AppStore,2023-07-27,
4.585659,GooglePlay,2023-07-28,
4.873239436619063,AppStore,2023-07-28,
4.588084,GooglePlay,2023-07-29,
4.862275449101796,AppStore,2023-07-29,
4.5897655,GooglePlay,2023-07-30,
4.869955156949628,AppStore,2023-07-30,
4.915929203540853,AppStore,2023-07-31,
4.584775,GooglePlay,2023-07-31,
4.89,AppStore,2023-08-01,
4.585,GooglePlay,2023-08-01,
4.58717,GooglePlay,2023-08-02,
4.94212962962963,AppStore,2023-08-02,
4.905660377359589,AppStore,2023-08-03,
4.5854573,GooglePlay,2023-08-03,
4.921182266010999,AppStore,2023-08-04,
4.5853133,GooglePlay,2023-08-04,
4.5835714,GooglePlay,2023-08-05,
4.739884393062238,AppStore,2023-08-05,
4.5802326,GooglePlay,2023-08-06,
4.821192052980132,AppStore,2023-08-06,
4.578009,GooglePlay,2023-08-07,
4.855018587360595,AppStore,2023-08-07,
4.841584158415841,AppStore,2023-08-08,
4.5725727,GooglePlay,2023-08-08,
4.563959,GooglePlay,2023-08-09,
4.793103448275862,AppStore,2023-08-09,
4.5635223,GooglePlay,2023-08-10,
4.843220338983051,AppStore,2023-08-10,
4.5609407,GooglePlay,2023-08-11,
4.865079365078441,AppStore,2023-08-11,
4.5556984,GooglePlay,2023-08-12,
4.779456193353474,AppStore,2023-08-12,
4.5453897,GooglePlay,2023-08-13,
4.832884097035668,AppStore,2023-08-13,
4.54379,GooglePlay,2023-08-14,
4.985507246376812,AppStore,2023-08-14,
4.910852713179197,AppStore,2023-08-15,
4.542682,GooglePlay,2023-08-15,
4.907999999999069,AppStore,2023-08-16,
4.5442324,GooglePlay,2023-08-16,
4.876923076923973,AppStore,2023-08-17,
4.54182,GooglePlay,2023-08-17,
4.53785,GooglePlay,2023-08-18,
4.939393939392931,AppStore,2023-08-18,
4.916167664670659,AppStore,2023-08-19,
4.53462,GooglePlay,2023-08-19,
4.948275862070304,AppStore,2023-08-20,
4.530885,GooglePlay,2023-08-20,
4.877828054297589,AppStore,2023-08-21,
4.529678,GooglePlay,2023-08-21,
4.892,AppStore,2023-08-22,
4.525,GooglePlay,2023-08-22,
4.916988416988417,AppStore,2023-08-23,
4.524174,GooglePlay,2023-08-23,
4.867704280154736,AppStore,2023-08-24,
4.520379,GooglePlay,2023-08-24,
4.966417910447761,AppStore,2023-08-25,
4.517525,GooglePlay,2023-08-25,
4.873278236915242,AppStore,2023-08-26,
4.512151,GooglePlay,2023-08-26,
4.51038,GooglePlay,2023-08-27,
4.905882352942546,AppStore,2023-08-27,
4.970085470084475,AppStore,2023-08-28,
4.5076942,GooglePlay,2023-08-28,
4.5027523,GooglePlay,2023-08-29,
4.91699604743083,AppStore,2023-08-29,
4.5019755,GooglePlay,2023-08-30,
4.86120996441364,AppStore,2023-08-30,
4.49492,GooglePlay,2023-08-31,
4.843260188087045,AppStore,2023-08-31,
4.946107784431137,AppStore,2023-09-01,
4.4941607,GooglePlay,2023-09-01,
4.901235,AppStore,2023-09-02,
4.49523532,GooglePlay,2023-09-02,
4.857442348007898,AppStore,2023-09-03,
4.4848485,GooglePlay,2023-09-03,
4.484584,GooglePlay,2023-09-04,
4.935779816514829,AppStore,2023-09-04,
4.4852943,GooglePlay,2023-09-05,
4.983333333334303,AppStore,2023-09-05,
4.481331,GooglePlay,2023-09-06,
4.995614035087719,AppStore,2023-09-06,
4.480928,GooglePlay,2023-09-07,
4.929078014183296,AppStore,2023-09-07,
4.4791235,GooglePlay,2023-09-08,
4.915231123,AppStore,2023-09-08,
4.916449086162488,AppStore,2023-09-09,
4.478479,GooglePlay,2023-09-09,
4.4790883,GooglePlay,2023-09-10,
